"Country";"Type";"EIC Code";"URL";"Short Name";"Name"
"ES";"LNG Terminal";"21W0000000000362";"https://alsi.gie.eu/api?country=ES&company=21X000000001352A&facility=21W0000000000362";"";"Bilbao LNG Terminal"
"ES";"LSO";"21X000000001254A";"https://alsi.gie.eu/api?country=ES&company=21X000000001254A";"Enagás Transporte";"Enagás Transporte, S.A.U."
"ES";"LNG Terminal";"21W000000000039X";"https://alsi.gie.eu/api?country=ES&company=21X000000001254A&facility=21W000000000039X";"";"Barcelona LNG Terminal"
"ES";"LNG Terminal";"21W0000000000370";"https://alsi.gie.eu/api?country=ES&company=21X000000001254A&facility=21W0000000000370";"";"Huelva LNG Terminal"
"ES";"LNG Terminal";"21W000000000038Z";"https://alsi.gie.eu/api?country=ES&company=21X000000001254A&facility=21W000000000038Z";"";"Cartagena LNG Terminal"
"ES";"LNG Terminal";"PRIOR_MUS_000001";"https://alsi.gie.eu/api?country=ES&company=21X000000001254A&facility=PRIOR_MUS_000001";"";"El Musel LNG Terminal (Prior to 29/09/2023)"
"ES";"LSO";"21X000000000134P";"https://alsi.gie.eu/api?country=ES&company=21X000000000134P";"Musel E-Hub";"Musel Energy Hub"
"ES";"LNG Terminal";"21W0000000000346";"https://alsi.gie.eu/api?country=ES&company=21X000000000134P&facility=21W0000000000346";"";"El Musel LNG Terminal"
"ES";"LSO";"18XTGPRS-12345-G";"https://alsi.gie.eu/api?country=ES&company=18XTGPRS-12345-G";"Saggas";"Planta de Regasificación de Sagunto, S.A."
"ES";"LNG Terminal";"21W0000000000354";"https://alsi.gie.eu/api?country=ES&company=18XTGPRS-12345-G&facility=21W0000000000354";"";"Sagunto LNG Terminal"
"ES";"LSO";"18XRGNSA-12345-V";"https://alsi.gie.eu/api?country=ES&company=18XRGNSA-12345-V";"Reganosa";"Regasificadora del Noroeste S.A."
"ES";"LNG Terminal";"21W0000000000338";"https://alsi.gie.eu/api?country=ES&company=18XRGNSA-12345-V&facility=21W0000000000338";"";"Mugardos LNG Terminal"
"GB";"LSO";"21X-GB-A-A0A0A-7";"https://alsi.gie.eu/api?country=GB&company=21X-GB-A-A0A0A-7";"National Grid - Grain LNG";"National Grid Gas plc / Grain LNG"
"GB";"LNG Terminal";"21W000000000099F";"https://alsi.gie.eu/api?country=GB&company=21X-GB-A-A0A0A-7&facility=21W000000000099F";"";"Isle of Grain LNG Terminal"
"GB";"LSO";"21X0000000013554";"https://alsi.gie.eu/api?country=GB&company=21X0000000013554";"South Hook LNG";"South Hook LNG Terminal Company Ltd."
"GB";"LNG Terminal";"21W0000000000419";"https://alsi.gie.eu/api?country=GB&company=21X0000000013554&facility=21W0000000000419";"";"South Hook LNG Terminal"
"ES*";"LSO";"21X0000000013368";"https://alsi.gie.eu/api?country=ES*&company=21X0000000013368";"All Spanish Terminals";"All Spanish Terminals"
"ES*";"LNG Terminal";"18W000000000GVMT";"https://alsi.gie.eu/api?country=ES*&company=21X0000000013368&facility=18W000000000GVMT";"";"TVB (Virtual balancing LNG tank)"
"GB*";"LSO";"21X-GB-A-A0A0A-7";"https://alsi.gie.eu/api?country=GB*&company=21X-GB-A-A0A0A-7";"National Grid - Grain LNG (Post-Brexit)";"National Grid Gas plc / Grain LNG"
"GB*";"LNG Terminal";"21W000000000099F";"https://alsi.gie.eu/api?country=GB*&company=21X-GB-A-A0A0A-7&facility=21W000000000099F";"";"Isle of Grain LNG Terminal (Post-Brexit)"
"GB*";"LSO";"21X0000000013554";"https://alsi.gie.eu/api?country=GB*&company=21X0000000013554";"South Hook LNG (Post-Brexit)";"South Hook LNG Terminal Company Ltd."
"GB*";"LNG Terminal";"21W0000000000419";"https://alsi.gie.eu/api?country=GB*&company=21X0000000013554&facility=21W0000000000419";"";"South Hook LNG Terminal (Post-Brexit)"
